PUR_foam_flexible_GM21 26.2 1.55 0.010 0.002 0.131 17.8 8.6 9.2
PUR_foam_flexible_GM23 27.2 1.51 0.031 0.005 0.227 19.0 10.3 8.7
PUR_foam_flexible_GM25 24.6 1.50 0.028 0.005 0.194 17.0 7.2 9.8
PUR_foam_flexible_GM27 23.2 1.57 0.042 0.004 0.198 16.4 7.6 8.8

PUR_foam_rigid_GM29 26.0 1.52 0.031 0.003 0.130 16.4 6.8 9.6
PUR_foam_rigid_GM31 25.0 1.53 0.038 0.002 0.125 15.8 7.1 8.8
PUR_foam_rigid_GM35 28.0 1.58 0.025 0.001 0.104 17.6 7.8 9.8
PUR_foam_rigid_GM37 28.0 1.63 0.024 0.001 0.113 17.9 8.7 9.2

PS_foam_GM47 38.1 2.30 0.060 0.014 0.180 25.9 11.4 14.5
PS_foam_GM49 38.2 2.30 0.065 0.016 0.210 25.6 9.9 15.7
PS_foam_GM51 35.6 2.34 0.058 0.013 0.185 24.6 10.4 14.2
PS_foam_GM53 37.6 2.34 0.060 0.015 0.200 25.9 11.2 14.7

PE_foam_1 41.2 2.62 0.020 0.004 0.056 34.4 20.2 14.2
PE_foam_2 40.8 2.78 0.026 0.008 0.102 36.1 20.6 15.5
PE_foam_3 40.8 2.60 0.020 0.004 0.076 33.8 18.2 15.6
PE_foam_4 40.8 2.51 0.015 0.005 0.071 32.6 19.1 13.5
