Methylalcohol 20.0 1.31 0.001 0 0 19.1 16.1 3.0
Ethylalcohol 27.7 1.77 0.001 0.001 0.008 25.6 19.0 6.5
Isopropylalcohol 31.8 2.01 0.003 0.001 0.015 29.0 20.6 8.5
Acetone 29.7 2.14 0.003 0.001 0.014 27.9 20.3 7.6
Methylethylketone 32.7 2.29 0.004 0.001 0.018 30.6 22.1 8.6
Heptane 44.6 2.85 0.010 0.004 0.037 41.2 27.6 13.6
Octane 44.5 2.84 0.011 0.004 0.038 41.0 27.3 13.7
Kerosene 44.1 2.83 0.012 0.004 0.042 40.3 26.2 14.1
Benzene 40.1 2.33 0.067 0.018 0.181 27.6 11.0 16.5
Toluene 39.7 2.34 0.066 0.018 0.178 27.7 11.2 16.5
Styrene 39.4 2.35 0.065 0.019 0.177 27.8 11.2 16.6
Hydrocarbon 43.9 2.64 0.019 0.007 0.059 36.9 24.5 12.4
Mineraloil 41.5 2.37 0.041 0.012 0.097 31.7 – –
