ABS – – – – 0.105 30.0 – –
PMMA 25.2 2.12 0.010 0.001 0.022 24.2 16.6 7.6
PE 43.6 2.76 0.024 0.007 0.060 38.4 21.8 16.6
PP 43.4 2.79 0.024 0.006 0.059 38.6 22.6 0
PS 39.2 2.33 0.060 0.014 0.164 27.0 11.0 16.0
Silicone 21.7 0.96 0.021 0.006 0.065 10.6 7.3 3.3
Polyester-1 32.5 1.65 0.070 0.020 0.091 20.6 10.8 9.8
Polyester-2 32.5 1.56 0.080 0.029 0.089 19.5 – –
Epoxy-2 28.8 1.16 0.086 0.026 0.098 12.3 – –
Nylon 30.8 2.06 0.038 0.016 0.075 27.1 16.3 10.8
Polyamide-6 – – – – 0.011 28.8 – –
IPST – – – – 0.080 23.3 – –
PVEST – – – – 0.076 22.0 – –
Silicone-rubber 21.7 0.96 0.021 0.005 0.078 10.9 – –
Polyetheretherketone 31.3 1.6 0.029 – 0.008 17.5 – –
Polysulfone 29.0 1.8 0.034 – 0.020 24.3 – –
Polyethersulfone 25.2 1.5 0.040 – 0.021 20.4 – –
Polyetherimide 30.1 2.0 0.026 – 0.014 27.2 – –
Polycarbonate 31.6 1.5 0.054 – 0.112 18.4 – –
